schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/cruise,Cruise,UNKNOWN,2026-09-06T23:02:49.237535Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/casetext,Casetext,UNKNOWN,2026-09-06T23:02:49.237588Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/checkr,Checkr,UNKNOWN,2026-09-06T23:02:49.237619Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/caper,Caper,UNKNOWN,2026-09-06T23:02:49.237631Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/podium,Podium,UNKNOWN,2026-09-06T23:02:49.237658Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/scale-ai,Scale AI,UNKNOWN,2026-09-06T23:02:49.237673Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/daily,Daily,UNKNOWN,2026-09-06T23:02:49.237684Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/isono-health,iSono Health,UNKNOWN,2026-09-06T23:02:49.237710Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/deepgram,Deepgram,UNKNOWN,2026-09-06T23:02:49.237736Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/microhealth,Microhealth,UNKNOWN,2026-09-06T23:02:49.237761Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/snapmagic,SnapMagic,UNKNOWN,2026-09-06T23:02:49.237787Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/mashgin,Mashgin,UNKNOWN,2026-09-06T23:02:49.237813Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/tara-ai,Tara AI,UNKNOWN,2026-09-06T23:02:49.237837Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/resolve,Resolve,UNKNOWN,2026-09-06T23:02:49.237861Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/zeitview,Zeitview,UNKNOWN,2026-09-06T23:02:49.237887Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/akido-labs,Akido Labs,UNKNOWN,2026-09-06T23:02:49.237912Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/qventus,Qventus,UNKNOWN,2026-09-06T23:02:49.237935Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/opencurriculum,OpenCurriculum,UNKNOWN,2026-09-06T23:02:49.237959Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/mixerbox,MixerBox,UNKNOWN,2026-09-06T23:02:49.237988Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/caremessage,CareMessage,UNKNOWN,2026-09-06T23:02:49.238017Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/radar,RADAR,UNKNOWN,2026-09-06T23:02:49.238029Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/plivo,Plivo,UNKNOWN,2026-09-06T23:02:49.238039Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/redoubt-insurance,Redoubt Insurance,UNKNOWN,2026-09-06T23:02:49.238064Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/antimattr,antimattr,UNKNOWN,2026-09-06T23:02:49.238089Z
