schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/cruise,Cruise,3000.0,2026-09-06T17:04:11.167150Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/casetext,Casetext,50.0,2026-09-06T17:04:11.167228Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/checkr,Checkr,800.0,2026-09-06T17:04:11.167281Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/caper,Caper,15.0,2026-09-06T17:04:11.167310Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/podium,Podium,1000.0,2026-09-06T17:04:11.167356Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/scale-ai,Scale AI,500.0,2026-09-06T17:04:11.167388Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/daily,Daily,126.0,2026-09-06T17:04:11.167416Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/isono-health,iSono Health,9.0,2026-09-06T17:04:11.167462Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/deepgram,Deepgram,115.0,2026-09-06T17:04:11.167508Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/microhealth,Microhealth,25.0,2026-09-06T17:04:11.167552Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/snapmagic,SnapMagic,23.0,2026-09-06T17:04:11.167600Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mashgin,Mashgin,150.0,2026-09-06T17:04:11.167646Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tara-ai,Tara AI,13.0,2026-09-06T17:04:11.167691Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/resolve,Resolve,10.0,2026-09-06T17:04:11.167734Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zeitview,Zeitview,200.0,2026-09-06T17:04:11.167778Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/akido-labs,Akido Labs,1000.0,2026-09-06T17:04:11.167827Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/qventus,Qventus,230.0,2026-09-06T17:04:11.167869Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/opencurriculum,OpenCurriculum,,2026-09-06T17:04:11.167918Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mixerbox,MixerBox,30.0,2026-09-06T17:04:11.167963Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/caremessage,CareMessage,45.0,2026-09-06T17:04:11.168009Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/radar,RADAR,120.0,2026-09-06T17:04:11.168035Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/plivo,Plivo,320.0,2026-09-06T17:04:11.168058Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/redoubt-insurance,Redoubt Insurance,0.0,2026-09-06T17:04:11.168104Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/antimattr,antimattr,2.0,2026-09-06T17:04:11.168151Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/dreamscale-labs,Dreamscale Labs,4.0,2026-09-06T17:04:11.168199Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/vorelios,Vorelios,2.0,2026-09-06T17:04:11.168245Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/workers-io,Workers IO,2.0,2026-09-06T17:04:11.168292Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hopper,Hopper,2.0,2026-09-06T17:04:11.168335Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/onepatch,OnePatch,2.0,2026-09-06T17:04:11.168381Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/nodus-compute,Nodus Compute,2.0,2026-09-06T17:04:11.168449Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lantern-ai,Lantern AI,4.0,2026-09-06T17:04:11.168498Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/useforward,Forward,5.0,2026-09-06T17:04:11.168542Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/qokedas,Qokedas,3.0,2026-09-06T17:04:11.168587Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/veeza-ai,Veeza AI,1.0,2026-09-06T17:04:11.168641Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/simulithic,Simulithic,2.0,2026-09-06T17:04:11.168686Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/sentient-os,Sentient OS,2.0,2026-09-06T17:04:11.168738Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/herdr,herdr,1.0,2026-09-06T17:04:11.168765Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lambda-robotics,Lambda Robotics,6.0,2026-09-06T17:04:11.168813Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/opentag,OpenTag,3.0,2026-09-06T17:04:11.168862Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/conifer,Conifer,4.0,2026-09-06T17:04:11.168907Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/simantic,Simantic,4.0,2026-09-06T17:04:11.168958Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/experiential-labs,Experiential Labs,2.0,2026-09-06T17:04:11.169009Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/coarena,CoArena,2.0,2026-09-06T17:04:11.169058Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/magma,Magma,1.0,2026-09-06T17:04:11.169087Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/billow-ai-labs,Billow AI Labs,0.0,2026-09-06T17:04:11.169136Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hardware-intelligence,hardware intelligence,2.0,2026-09-06T17:04:11.169185Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/osseus,Osseus,2.0,2026-09-06T17:04:11.169234Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/allia-health,Allia Health,3.0,2026-09-06T17:04:11.169286Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/robocurve,Robocurve,3.0,2026-09-06T17:04:11.169336Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hiloop,hiloop,2.0,2026-09-06T17:04:11.169385Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/dawn-industries,Dawn Industries,2.0,2026-09-06T17:04:11.169432Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/onecli,OneCLI,0.0,2026-09-06T17:04:11.169486Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/wondering,Wondering,2.0,2026-09-06T17:04:11.169533Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tracer,Tracer,1.0,2026-09-06T17:04:11.169587Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/locke,Locke,2.0,2026-09-06T17:04:11.169612Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/florin,Florin,3.0,2026-09-06T17:04:11.169663Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hebbian-robotics,Hebbian Robotics,2.0,2026-09-06T17:04:11.169719Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/princeps,PRINCEPS,3.0,2026-09-06T17:04:11.169770Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/agent-fm,Agent FM,2.0,2026-09-06T17:04:11.169819Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/openrelay,OpenRelay,2.0,2026-09-06T17:04:11.169871Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/dock,Dock,2.0,2026-09-06T17:04:11.169897Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/verdict-machine,Verdict Machine,4.0,2026-09-06T17:04:11.169950Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tovenai,TovenAI,2.0,2026-09-06T17:04:11.170005Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hyperprobe,HyperProbe,8.0,2026-09-06T17:04:11.170059Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/skymerse,Skymerse,,2026-09-06T17:04:11.170158Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/palisade-2,Palisade,1.0,2026-09-06T17:04:11.170213Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/83-sciences,83 Sciences,3.0,2026-09-06T17:04:11.170267Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lamb-labs,Lambda,0.0,2026-09-06T17:04:11.170337Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mireye,Mireye,2.0,2026-09-06T17:04:11.170391Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/touchy,Touchy,3.0,2026-09-06T17:04:11.170461Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/pennant,Pennant,2.0,2026-09-06T17:04:11.170515Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/decawork,Decawork,2.0,2026-09-06T17:04:11.170568Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/carsignal,CarSignal,2.0,2026-09-06T17:04:11.170621Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/axelrod,Axelrod,2.0,2026-09-06T17:04:11.170672Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/care-gp,Care GP,10.0,2026-09-06T17:04:11.170728Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/agnost-ai,Agnost AI,2.0,2026-09-06T17:04:11.170779Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gamgee,Gamgee,2.0,2026-09-06T17:04:11.170834Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/inkbox,Inkbox,3.0,2026-09-06T17:04:11.170888Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/familiar,Familiar,8.0,2026-09-06T17:04:11.170941Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lumeria,Lumeria,3.0,2026-09-06T17:04:11.170996Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/marengo,Marengo,5.0,2026-09-06T17:04:11.171047Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/waybill,Waybill,5.0,2026-09-06T17:04:11.171098Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/executor,Executor,1.0,2026-09-06T17:04:11.171165Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/last-accounting-company,Last Accounting Company,4.0,2026-09-06T17:04:11.171225Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/pacific,Pacific,3.0,2026-09-06T17:04:11.171284Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/luca-iq,Luca IQ,5.0,2026-09-06T17:04:11.171339Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/financial-datasets,Financial Datasets,1.0,2026-09-06T17:04:11.171393Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/computable,Computable,2.0,2026-09-06T17:04:11.171451Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/denta,Denta,1.0,2026-09-06T17:04:11.171475Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/isengard-industries-inc,Isengard Industries Inc,30.0,2026-09-06T17:04:11.171534Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/moving-atoms,Moving Atoms,2.0,2026-09-06T17:04:11.171589Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/arbital,Arbital,3.0,2026-09-06T17:04:11.171645Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/neuromorphic,Neuromorphic,3.0,2026-09-06T17:04:11.171889Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lato,LATO,2.0,2026-09-06T17:04:11.171917Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/risklytics,Risklytics,2.0,2026-09-06T17:04:11.171972Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/daqstra,Daqstra,3.0,2026-09-06T17:04:11.172027Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tenor,Tenor,3.0,2026-09-06T17:04:11.172054Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/qlo,Qlo,2.0,2026-09-06T17:04:11.172082Z
